date,long_eps_expectations_index,long_eps_expectations_90d_index,long_realized_ttm_sales_growth_pct,long_forward_eps_yield_pct,long_forward_pe_equivalent,short_eps_expectations_index,short_eps_expectations_90d_index,short_realized_ttm_sales_growth_pct,short_forward_eps_yield_pct,short_forward_pe_equivalent,tradexyz_long_eps_expectations_index,tradexyz_long_eps_expectations_90d_index,tradexyz_long_realized_ttm_sales_growth_pct,tradexyz_long_forward_eps_yield_pct,tradexyz_long_forward_pe_equivalent,tradexyz_short_eps_expectations_index,tradexyz_short_eps_expectations_90d_index,tradexyz_short_realized_ttm_sales_growth_pct,tradexyz_short_forward_eps_yield_pct,tradexyz_short_forward_pe_equivalent
2026-04-10,136.527007,,9.974421,8.007469,12.488341,131.425275,,5.357371,2.168505,46.114719,143.328528,,12.972100,2.974824,33.615431,88.529140,,,1.913569,52.258380
2026-04-17,136.995221,,9.974421,8.812129,11.347996,130.422400,,5.357371,2.180045,45.870605,144.492344,,12.972100,2.843513,35.167763,85.948262,,,1.871014,53.446953
2026-04-24,137.386767,,9.974421,7.865236,12.714177,131.172927,,7.159898,2.151409,46.481156,144.518770,,12.972100,2.583458,38.707810,86.189401,,,1.496605,66.817881
2026-05-01,137.192655,,9.947333,7.979954,12.531400,132.801616,,9.069395,2.115447,47.271338,151.618201,,17.120639,2.630958,38.008971,85.667282,,,1.572248,63.603184
2026-05-08,137.584884,,11.497565,7.914588,12.634896,136.022636,,9.209609,2.123794,47.085553,158.453212,,14.701152,2.690217,37.171722,83.295763,,,1.632205,61.266821
2026-05-15,135.657102,,10.317625,7.627256,13.110875,136.299497,,8.111755,2.166483,46.157752,163.105306,,14.701152,2.699387,37.045445,82.970622,,,1.520855,65.752508
2026-05-22,136.105078,100.000000,10.833502,7.822360,12.783865,135.954488,100.000000,8.037069,2.230511,44.832772,163.619412,100.000000,14.701152,2.768378,36.122237,80.718136,100.000000,,1.495494,66.867547
2026-05-29,135.830833,99.798505,10.833502,7.149175,13.987629,135.292867,99.513351,8.073780,2.188932,45.684373,164.217511,100.365543,14.701152,2.745279,36.426174,80.590325,99.841657,,1.549739,64.526978
2026-06-05,137.236887,100.831570,10.883843,6.901844,14.488881,136.802289,100.623592,8.073780,2.425227,41.233256,164.209539,100.360670,14.701152,2.621963,38.139360,81.463486,100.923398,,1.392764,71.799677
2026-06-12,137.771009,101.224004,10.890306,7.038733,14.207102,137.393664,101.058572,8.073780,2.423399,41.264348,165.060086,100.880503,14.701152,2.909448,34.370779,81.829822,101.377244,,1.714245,58.334727
2026-06-19,138.253818,101.578736,10.890306,7.321463,13.658472,138.798189,102.091657,8.073780,2.430972,41.135807,165.412896,101.096132,14.701152,2.980929,33.546585,81.819534,101.364499,,1.622062,61.649936
2026-06-26,138.695808,101.903478,10.890306,7.592190,13.171430,139.513411,102.617731,8.073780,2.491979,40.128754,166.034792,101.476219,14.701152,2.981609,33.538940,82.343305,102.013387,,1.529163,65.395239
2026-07-03,139.154667,102.240614,10.890306,7.299618,13.699347,140.938053,103.665613,8.073780,2.389020,41.858162,166.544356,101.787651,14.701152,3.127794,31.971414,83.422900,103.350875,,1.689848,59.176909
2026-07-10,141.142874,103.701402,10.890306,6.842532,14.614473,142.226804,104.613541,8.073780,2.452839,40.769087,167.251881,102.220072,14.701152,3.000582,33.326864,85.081699,105.405926,,1.658183,60.306957
2026-07-17,141.561818,104.009211,10.890306,6.842197,14.615189,143.843628,105.802780,8.073780,2.455495,40.724982,167.978933,102.664428,14.701152,3.051376,32.772101,84.771962,105.022199,,1.654576,60.438434
2026-07-24,142.117908,104.417785,10.890306,6.713545,14.895260,144.771946,106.485596,11.473641,2.494900,40.081771,169.088805,103.342753,14.701152,3.066226,32.613387,84.408853,104.572351,,1.775332,56.327505
2026-07-31,142.591461,104.765717,10.908515,7.097193,14.090077,144.751703,106.470706,14.092347,2.565644,38.976574,175.419782,107.212084,16.422100,3.326447,30.062104,82.956345,102.772870,,1.787095,55.956740
2026-08-07,143.516121,105.445089,12.428007,6.732782,14.852702,147.077881,108.181704,13.514018,2.517970,39.714537,189.348923,115.725219,16.110164,3.145642,31.790015,79.065088,97.952074,,1.804583,55.414479
2026-08-14,145.948042,107.231886,11.031464,6.403640,15.616118,144.565052,106.333416,13.035560,2.573467,38.858080,192.412177,117.597402,16.110164,2.944397,33.962806,77.969816,96.595164,,1.669319,59.904676
2026-08-21,145.475714,106.884854,11.031464,6.439135,15.530036,145.439641,106.976712,13.035560,2.454450,40.742318,192.746901,117.801976,16.110164,3.006184,33.264761,79.662372,98.692036,,1.660184,60.234276
